 real U  UE   I  IE  tr  trE gbe gbeE  user  film
 3.0 4.0 1.0 4.0 1.0 3.4 0.4 3.6 0.6 4385.0 3590.0
 4.0 3.0 1.0 4.0 0.0 3.9 0.1 4.0 0.0 3054.0 1373.0
 4.0 3.0 1.0 5.0 1.0 3.5 0.5 3.5 0.5 841.0 2012.0
 2.0 1.0 1.0 5.0 3.0 3.4 1.4 3.8 1.8 622.0 265.0
 5.0 4.0 1.0 5.0 0.0 4.1 0.9 4.4 0.6 148.0 1035.0
 3.0 4.0 1.0 3.0 0.0 4.1 1.1 4.2 1.2 4224.0 27.0
 3.0 4.0 1.0 4.0 1.0 3.4 0.4 3.7 0.7 4084.0 3249.0
 2.0 2.0 0.0 3.0 1.0 4.2 2.2 4.5 2.5 3992.0 918.0
 4.0 5.0 1.0 5.0 1.0 3.6 0.4 3.8 0.2 2456.0 2422.0
 5.0 1.0 4.0 5.0 0.0 4.5 0.5 4.7 0.3 2689.0 857.0
 5.0 5.0 0.0 4.0 1.0 4.0 1.0 4.1 0.9 4211.0 3061.0
 3.0 5.0 2.0 2.0 1.0 4.4 1.4 5.1 2.1 4642.0 2761.0
 5.0 4.0 1.0 5.0 0.0 3.7 1.3 3.8 1.2 5501.0 3623.0
 4.0 4.0 0.0 3.0 1.0 4.1 0.1 4.1 0.1 2434.0 1290.0
 5.0 4.0 1.0 3.0 2.0 3.9 1.1 4.5 0.5 3073.0 3745.0
 2.0 3.0 1.0 3.0 1.0 3.5 1.5 3.8 1.8 2350.0 1776.0
 4.0 3.0 1.0 4.0 0.0 3.6 0.4 3.9 0.1 2109.0 20.0
 4.0 3.0 1.0 3.0 1.0 4.3 0.3 4.8 0.8 4509.0 295.0
 4.0 3.0 1.0 4.0 0.0 3.3 0.7 3.4 0.6 2241.0 2001.0
 4.0 2.0 2.0 3.0 1.0 3.9 0.1 4.2 0.2 2528.0 31.0
 5.0 4.0 1.0 5.0 0.0 4.3 0.7 4.4 0.6 5384.0 1195.0
 5.0 4.0 1.0 4.0 1.0 4.4 0.6 4.5 0.5 3124.0 922.0
 5.0 3.0 2.0 3.0 2.0 4.0 1.0 4.2 0.8 1499.0 2247.0
 5.0 5.0 0.0 5.0 0.0 4.0 1.0 4.3 0.7 6002.0 3503.0
 4.0 5.0 1.0 5.0 1.0 4.1 0.1 4.2 0.2 3092.0 1089.0
 2.0 2.0 0.0 2.0 0.0 4.1 2.1 4.5 2.5 2999.0 355.0
 4.0 3.0 1.0 4.0 0.0 3.3 0.7 3.5 0.5 1879.0 3301.0
 3.0 3.0 0.0 3.0 0.0 2.8 0.2 2.8 0.2 4170.0 3257.0
 4.0 3.0 1.0 3.0 1.0 3.9 0.1 4.0 0.0 3079.0 372.0
 5.0 5.0 0.0 5.0 0.0 4.1 0.9 4.5 0.5 4102.0 944.0
 4.0 3.0 1.0 4.0 0.0 4.2 0.2 4.5 0.5 2163.0 1303.0
 5.0 2.0 3.0 5.0 0.0 3.8 1.2 4.2 0.8 1708.0 2077.0
 4.0 5.0 1.0 4.0 0.0 4.1 0.1 4.1 0.1 237.0 149.0
 3.0 1.0 2.0 2.0 1.0 3.2 0.2 3.6 0.6 4063.0 735.0
 4.0 3.0 1.0 4.0 0.0 3.7 0.3 3.9 0.1 1202.0 3722.0
 3.0 3.0 0.0 3.0 0.0 2.7 0.3 3.0 0.0 14.0 2125.0
 5.0 1.0 4.0 5.0 0.0 3.4 1.6 3.6 1.4 2040.0 1371.0
 5.0 4.0 1.0 5.0 0.0 4.4 0.6 4.5 0.5 4053.0 592.0
 4.0 3.0 1.0 4.0 0.0 3.1 0.9 3.4 0.6 1450.0 2093.0
 4.0 5.0 1.0 3.0 1.0 4.0 0.0 4.7 0.7 5560.0 35.0
 2.0 2.0 0.0 3.0 1.0 2.5 0.5 2.8 0.8 6039.0 2146.0
 3.0 4.0 1.0 3.0 0.0 4.1 1.1 4.8 1.8 1334.0 1243.0
 4.0 1.0 3.0 2.0 2.0 4.3 0.3 4.4 0.4 5673.0 1195.0
 2.0 4.0 2.0 5.0 3.0 2.3 0.3 2.7 0.7 3739.0 1881.0
 1.0 2.0 1.0 4.0 3.0 3.9 2.9 4.0 3.0 3838.0 1922.0
 4.0 2.0 2.0 3.0 1.0 4.1 0.1 4.5 0.5 5276.0 3910.0
 4.0 3.0 1.0 3.0 1.0 3.7 0.3 3.9 0.1 3270.0 1126.0
 4.0 4.0 0.0 5.0 1.0 3.9 0.1 4.0 0.0 3136.0 2069.0
 3.0 2.0 1.0 3.0 0.0 3.3 0.3 3.8 0.8 4063.0 2746.0
 5.0 5.0 0.0 4.0 1.0 4.3 0.7 4.7 0.3 2028.0 1135.0
 5.0 3.0 2.0 5.0 0.0 3.9 1.1 4.0 1.0 3884.0 2846.0
 2.0 4.0 2.0 2.0 0.0 3.2 1.2 3.9 1.9 3663.0 276.0
 4.0 4.0 0.0 3.0 1.0 3.7 0.3 4.0 0.0 3750.0 356.0
 5.0 4.0 1.0 3.0 2.0 3.7 1.3 4.1 0.9 2236.0 2124.0
 5.0 4.0 1.0 4.0 1.0 4.4 0.6 4.6 0.4 2830.0 1192.0
 3.0 4.0 1.0 3.0 0.0 3.8 0.8 4.2 1.2 22.0 2501.0
 5.0 3.0 2.0 4.0 1.0 3.9 1.1 4.1 0.9 3300.0 264.0
 3.0 3.0 0.0 3.0 0.0 2.9 0.1 3.3 0.3 2303.0 2334.0
 4.0 1.0 3.0 4.0 0.0 3.6 0.4 3.9 0.1 3807.0 2230.0
 2.0 2.0 0.0 3.0 1.0 3.4 1.4 4.1 2.1 2961.0 1644.0
 5.0 4.0 1.0 4.0 1.0 3.7 1.3 3.7 1.3 4513.0 2365.0
 1.0 4.0 3.0 1.0 0.0 3.9 2.9 4.4 3.4 1313.0 594.0
 3.0 4.0 1.0 3.0 0.0 3.8 0.8 3.9 0.9 5247.0 479.0
 3.0 4.0 1.0 4.0 1.0 4.0 1.0 4.4 1.4 3508.0 2946.0
 2.0 3.0 1.0 3.0 1.0 3.1 1.1 3.1 1.1 3835.0 106.0
 5.0 5.0 0.0 4.0 1.0 4.2 0.8 4.5 0.5 4155.0 3221.0
 5.0 1.0 4.0 4.0 1.0 4.0 1.0 4.0 1.0 3272.0 1209.0
 4.0 4.0 0.0 3.0 1.0 4.0 0.0 4.2 0.2 1208.0 1291.0
 3.0 3.0 0.0 3.0 0.0 2.6 0.4 3.2 0.2 4288.0 2410.0
 5.0 5.0 0.0 3.0 2.0 4.1 0.9 4.1 0.9 3862.0 588.0
 4.0 4.0 0.0 3.0 1.0 3.8 0.2 3.9 0.1 1087.0 530.0
 3.0 3.0 0.0 4.0 1.0 3.9 0.9 4.1 1.1 3299.0 554.0
 5.0 5.0 0.0 4.0 1.0 4.3 0.7 4.6 0.4 4507.0 1259.0
 4.0 3.0 1.0 3.0 1.0 2.5 1.5 2.8 1.2 4084.0 3242.0
 2.0 1.0 1.0 4.0 2.0 3.2 1.2 3.5 1.5 4410.0 2708.0
 5.0 5.0 0.0 5.0 0.0 4.5 0.5 4.9 0.1 5761.0 526.0
 4.0 2.0 2.0 4.0 0.0 3.5 0.5 4.0 0.0 2539.0 836.0
 3.0 5.0 2.0 3.0 0.0 3.7 0.7 4.4 1.4 5329.0 1693.0
 3.0 5.0 2.0 4.0 1.0 3.7 0.7 4.0 1.0 3807.0 2921.0
 3.0 3.0 0.0 3.0 0.0 3.3 0.3 3.6 0.6 677.0 449.0
 2.0 2.0 0.0 1.0 1.0 3.0 1.0 3.9 1.9 3588.0 1803.0
 2.0 3.0 1.0 2.0 0.0 3.4 1.4 3.8 1.8 3409.0 352.0
 4.0 3.0 1.0 3.0 1.0 4.3 0.3 4.7 0.7 3915.0 1202.0
 3.0 2.0 1.0 3.0 0.0 3.5 0.5 3.6 0.6 5375.0 609.0
 4.0 5.0 1.0 3.0 1.0 3.8 0.2 4.2 0.2 5075.0 1284.0
 3.0 3.0 0.0 5.0 2.0 3.6 0.6 3.8 0.8 3886.0 634.0
 5.0 4.0 1.0 2.0 3.0 4.5 0.5 5.4 0.4 3278.0 1197.0
 3.0 4.0 1.0 3.0 0.0 4.2 1.2 4.2 1.2 18.0 1239.0
 5.0 5.0 0.0 4.0 1.0 4.3 0.7 4.4 0.6 4511.0 1271.0
 4.0 1.0 3.0 2.0 2.0 2.9 1.1 3.3 0.7 659.0 1893.0
 5.0 4.0 1.0 5.0 0.0 4.1 0.9 4.5 0.5 3104.0 1035.0
 1.0 1.0 0.0 1.0 0.0 3.6 2.6 4.1 3.1 4252.0 3212.0
 3.0 3.0 0.0 4.0 1.0 3.6 0.6 3.7 0.7 1613.0 3926.0
 3.0 5.0 2.0 1.0 2.0 3.8 0.8 4.2 1.2 1292.0 2394.0
 2.0 1.0 1.0 3.0 1.0 2.0 0.0 2.1 0.1 1139.0 3930.0
 3.0 2.0 1.0 4.0 1.0 3.3 0.3 3.4 0.4 1454.0 300.0
 5.0 4.0 1.0 4.0 1.0 4.1 0.9 4.3 0.7 3726.0 1200.0
