real pred err   user   film
 5.0 4.2 0.8 1.0 1193.0
 3.0 3.2 0.2 445.0 2531.0
 5.0 4.2 0.8 3233.0 1223.0
 4.0 3.7 0.3 759.0 1393.0
 4.0 3.5 0.5 2664.0 592.0
 5.0 4.2 0.8 485.0 1278.0
 3.0 4.1 1.1 3769.0 1370.0
 5.0 4.5 0.5 5528.0 1957.0
 1.0 3.2 2.2 40.0 258.0
 3.0 3.4 0.4 2986.0 171.0
 2.0 3.8 1.8 3827.0 2046.0
 4.0 3.2 0.8 5880.0 1073.0
 3.0 2.9 0.1 3336.0 1304.0
 2.0 3.5 1.5 1323.0 1380.0
 3.0 3.0 0.0 2127.0 3260.0
 2.0 2.8 0.8 3821.0 3869.0
 2.0 3.3 1.3 2120.0 442.0
 3.0 3.2 0.2 5567.0 2794.0
 4.0 4.1 0.1 5449.0 1240.0
 1.0 2.4 1.4 1434.0 2642.0
 4.0 3.4 0.6 4612.0 483.0
 4.0 3.8 0.2 4867.0 1441.0
 2.0 2.7 0.7 4447.0 3705.0
 5.0 4.4 0.6 5100.0 3551.0
 4.0 4.1 0.1 3782.0 1295.0
 3.0 3.9 0.9 1273.0 2282.0
 4.0 3.6 0.4 3454.0 249.0
 4.0 3.4 0.6 4345.0 11.0
 3.0 4.0 1.0 1003.0 3257.0
 4.0 3.4 0.6 4897.0 648.0
 2.0 2.9 0.9 3824.0 2532.0
 2.0 2.7 0.7 2109.0 1388.0
 2.0 3.6 1.6 4287.0 3710.0
 3.0 3.5 0.5 2092.0 2476.0
 4.0 3.9 0.1 4169.0 2104.0
 3.0 3.9 0.9 5573.0 1276.0
 3.0 3.4 0.4 4621.0 367.0
 3.0 3.4 0.4 793.0 541.0
 5.0 3.5 1.5 5857.0 1210.0
 3.0 4.8 1.8 5184.0 1966.0
 3.0 3.3 0.3 1776.0 3527.0
 2.0 3.6 1.6 678.0 1027.0
 3.0 3.3 0.3 5054.0 1794.0
 3.0 3.5 0.5 937.0 1858.0
 2.0 3.5 1.5 2752.0 2064.0
 4.0 3.2 0.8 5288.0 202.0
 4.0 3.7 0.3 4729.0 3450.0
 2.0 2.7 0.7 245.0 3386.0
 4.0 3.7 0.3 1689.0 1552.0
 4.0 3.9 0.1 896.0 1.0
 5.0 3.8 1.2 5882.0 1371.0
 5.0 4.1 0.9 3601.0 1271.0
 2.0 3.5 1.5 795.0 3893.0
 3.0 3.1 0.1 4699.0 2701.0
 4.0 3.7 0.3 5976.0 3046.0
 3.0 3.7 0.7 583.0 2122.0
 5.0 4.2 0.8 5868.0 2882.0
 4.0 3.5 0.5 4334.0 1342.0
 4.0 3.6 0.4 1219.0 1580.0
 3.0 3.5 0.5 2525.0 104.0
 1.0 4.0 3.0 2604.0 441.0
 3.0 3.6 0.6 1448.0 3843.0
 5.0 4.3 0.7 1836.0 1660.0
 5.0 3.9 1.1 139.0 2528.0
 4.0 3.8 0.2 2355.0 953.0
 3.0 3.1 0.1 3283.0 1373.0
 1.0 3.2 2.2 4016.0 1304.0
 4.0 3.7 0.3 2242.0 2033.0
 4.0 3.8 0.2 5654.0 1198.0
 2.0 3.1 1.1 1284.0 520.0
 3.0 3.7 0.7 1140.0 2167.0
 3.0 3.4 0.4 1666.0 1912.0
 4.0 3.8 0.2 3201.0 3173.0
 1.0 2.6 1.6 5788.0 2956.0
 4.0 3.9 0.1 3702.0 541.0
 3.0 2.9 0.1 4312.0 2338.0
 4.0 3.6 0.4 624.0 3770.0
 5.0 3.6 1.4 1712.0 1291.0
 4.0 3.9 0.1 2634.0 1580.0
 2.0 3.5 1.5 3749.0 852.0
