real pred err   user   film
 5.0 4.4 0.6 1.0 1193.0
 5.0 3.9 1.1 3681.0 319.0
 4.0 4.3 0.3 1291.0 1219.0
 3.0 3.8 0.8 355.0 2662.0
 2.0 2.8 0.8 1383.0 2375.0
 4.0 4.3 0.3 3340.0 296.0
 3.0 3.5 0.5 2996.0 3740.0
 4.0 4.1 0.1 1167.0 58.0
 5.0 4.0 1.0 1623.0 1394.0
 2.0 2.7 0.7 2907.0 3243.0
 4.0 3.0 1.0 4554.0 1463.0
 4.0 2.9 1.1 4281.0 2796.0
 4.0 4.4 0.4 1464.0 2571.0
 3.0 2.5 0.5 1647.0 153.0
 2.0 2.5 0.5 204.0 485.0
 3.0 3.6 0.6 1354.0 661.0
 3.0 4.0 1.0 5522.0 3751.0
 5.0 3.2 1.8 216.0 2431.0
 5.0 4.3 0.7 5306.0 1252.0
 4.0 3.9 0.1 3277.0 515.0
 5.0 4.3 0.7 2301.0 3091.0
 2.0 4.1 2.1 308.0 3578.0
 4.0 4.0 0.0 3483.0 2917.0
 4.0 3.6 0.4 6011.0 1909.0
 4.0 3.8 0.2 3590.0 16.0
 2.0 3.5 1.5 5046.0 1527.0
 2.0 2.9 0.9 3771.0 1128.0
 1.0 2.3 1.3 1630.0 258.0
 5.0 3.7 1.3 1878.0 2502.0
 4.0 3.2 0.8 3295.0 2694.0
 5.0 4.6 0.4 3333.0 318.0
 5.0 4.5 0.5 1743.0 527.0
 3.0 3.8 0.8 5627.0 1357.0
 4.0 3.4 0.6 2251.0 3015.0
 4.0 4.4 0.4 1163.0 1197.0
 3.0 3.8 0.8 5942.0 235.0
 5.0 4.2 0.8 1555.0 933.0
 3.0 2.3 0.7 1647.0 2379.0
 4.0 3.6 0.4 1390.0 2763.0
 3.0 3.1 0.1 3834.0 2800.0
 5.0 4.2 0.8 2498.0 3334.0
 4.0 4.1 0.1 2933.0 1175.0
 2.0 2.9 0.9 3320.0 1332.0
 4.0 3.7 0.3 4750.0 2687.0
 4.0 3.5 0.5 4467.0 1883.0
 4.0 3.8 0.2 726.0 2671.0
 5.0 4.2 0.8 4882.0 1294.0
 3.0 3.3 0.3 5938.0 1485.0
 5.0 3.7 1.3 2206.0 1517.0
 2.0 3.1 1.1 1120.0 2718.0
 5.0 4.4 0.6 4823.0 1252.0
 4.0 4.6 0.6 2840.0 527.0
 5.0 4.5 0.5 307.0 750.0
 4.0 3.1 0.9 1984.0 1552.0
 5.0 4.5 0.5 2975.0 750.0
 5.0 4.2 0.8 5387.0 1240.0
 3.0 3.9 0.9 5550.0 1220.0
 4.0 2.8 1.2 714.0 2829.0
 4.0 3.5 0.5 461.0 2077.0
 3.0 3.8 0.8 3823.0 2959.0
 5.0 4.3 0.7 3489.0 110.0
 4.0 3.8 0.2 2636.0 2321.0
 1.0 3.1 2.1 2664.0 3535.0
 4.0 4.3 0.3 940.0 1358.0
 4.0 3.4 0.6 242.0 353.0
 5.0 4.0 1.0 1224.0 3201.0
 1.0 2.5 1.5 3513.0 208.0
 1.0 3.2 2.2 5523.0 2657.0
 4.0 3.4 0.6 5531.0 2393.0
 5.0 3.4 1.6 3841.0 2553.0
 3.0 3.4 0.4 5039.0 1805.0
 4.0 3.8 0.2 631.0 3510.0
 5.0 3.1 1.9 4210.0 1917.0
 4.0 3.4 0.6 1142.0 3179.0
 1.0 3.1 2.1 3422.0 653.0
 2.0 2.5 0.5 676.0 1468.0
 4.0 2.8 1.2 1298.0 2428.0
 1.0 3.3 2.3 4673.0 2384.0
 3.0 3.4 0.4 868.0 968.0
 2.0 2.8 0.8 1251.0 2771.0
 5.0 4.1 0.9 4497.0 2648.0
 5.0 4.2 0.8 2581.0 246.0
 4.0 2.5 1.5 1068.0 2088.0
 1.0 3.8 2.8 1492.0 3793.0
 3.0 3.7 0.7 5113.0 3418.0
 2.0 2.9 0.9 329.0 691.0
 4.0 2.4 1.6 1645.0 688.0
 4.0 3.7 0.3 3610.0 3087.0
 4.0 4.1 0.1 4715.0 3421.0
 4.0 3.6 0.4 5271.0 1959.0
 4.0 3.8 0.2 1303.0 3039.0
 5.0 3.9 1.1 2440.0 2355.0
 5.0 4.0 1.0 5312.0 1264.0
 4.0 2.5 1.5 3850.0 1668.0
 3.0 1.6 1.4 4247.0 2807.0
 2.0 3.9 1.9 3279.0 3871.0
 4.0 4.3 0.3 2670.0 1276.0
 4.0 3.0 1.0 1354.0 724.0
 3.0 3.2 0.2 4194.0 2747.0
 5.0 3.7 1.3 1298.0 2987.0
 1.0 3.0 2.0 3610.0 1951.0
 5.0 3.5 1.5 3197.0 3729.0
 2.0 3.4 1.4 1680.0 2844.0
 5.0 3.7 1.3 1138.0 1653.0
 5.0 4.3 0.7 4373.0 1294.0
 3.0 3.7 0.7 3667.0 1013.0
 5.0 4.2 0.8 2181.0 1939.0
 3.0 3.3 0.3 3924.0 2475.0
 4.0 3.4 0.6 785.0 648.0
 5.0 3.4 1.6 4021.0 780.0
 5.0 4.1 0.9 1771.0 924.0
 4.0 3.9 0.1 455.0 345.0
 5.0 4.1 0.9 2438.0 1610.0
 3.0 3.1 0.1 1980.0 218.0
 4.0 3.1 0.9 4569.0 2334.0
 5.0 4.5 0.5 3961.0 3030.0
 4.0 4.1 0.1 202.0 1610.0
 3.0 3.5 0.5 3526.0 647.0
 3.0 4.4 1.4 2892.0 923.0
 5.0 4.3 0.7 173.0 1218.0
 2.0 3.1 1.1 2116.0 207.0
 4.0 3.9 0.1 3733.0 1265.0
 5.0 3.7 1.3 2722.0 3753.0
 3.0 3.2 0.2 2664.0 2012.0
 5.0 4.2 0.8 1285.0 1952.0
 4.0 2.9 1.1 5217.0 1391.0
 5.0 3.4 1.6 2841.0 3625.0
 4.0 3.3 0.7 3942.0 2712.0
 5.0 3.8 1.2 3927.0 587.0
 4.0 3.8 0.2 970.0 3420.0
 4.0 4.3 0.3 2583.0 1276.0
 5.0 4.4 0.6 3683.0 2731.0
 4.0 3.4 0.6 3850.0 1042.0
 2.0 2.5 0.5 1600.0 1388.0
 5.0 3.3 1.7 1491.0 3795.0
 3.0 2.8 0.2 3196.0 1037.0
 3.0 3.5 0.5 4007.0 1129.0
 4.0 3.6 0.4 528.0 2891.0
