real wU wUE  wI wIE  user  film
 4.0 1.9 2.1 3.6 0.4 1179.0 438.0
 3.5 2.3 1.2 2.1 1.4 646.0 40.0
 4.0 2.0 2.0 3.1 0.9 1361.0 55.0
 4.0 3.8 0.2 3.4 0.6 72.0 516.0
 3.0 2.1 0.9 2.4 0.6 2260.0 238.0
 5.0 3.0 2.0 3.1 1.9 2507.0 27.0
 3.0 3.2 0.2 2.9 0.1 86.0 183.0
 4.0 2.6 1.4 3.7 0.3 556.0 584.0
 4.0 2.5 1.5 3.3 0.7 888.0 231.0
 3.0 3.3 0.3 2.9 0.1 145.0 587.0
 4.0 2.1 1.9 4.1 0.1 792.0 55.0
 4.0 2.5 1.5 3.5 0.5 90.0 579.0
 3.5 2.9 0.6 3.5 0.0 1354.0 291.0
 4.0 3.3 0.7 3.3 0.7 150.0 507.0
 1.5 2.9 1.4 4.1 2.6 137.0 569.0
 5.0 3.1 1.9 3.9 1.1 185.0 584.0
 5.0 2.6 2.4 3.9 1.1 3657.0 429.0
 2.0 2.0 0.0 3.2 1.2 2210.0 293.0
 1.0 1.4 0.4 3.7 2.7 3313.0 474.0
 3.0 2.7 0.3 3.9 0.9 197.0 104.0
 4.0 1.6 2.4 3.3 0.7 2680.0 563.0
 3.0 1.5 1.5 3.4 0.4 8439.0 574.0
 5.0 2.9 2.1 3.9 1.1 632.0 480.0
 3.0 2.0 1.0 2.8 0.2 2264.0 195.0
 3.0 2.6 0.4 2.3 0.7 2144.0 653.0
 5.0 3.1 1.9 3.8 1.2 341.0 82.0
 3.0 2.8 0.2 3.7 0.7 23.0 240.0
 3.0 1.4 1.6 3.5 0.5 2188.0 546.0
 2.0 3.2 1.2 2.9 0.9 423.0 81.0
 4.0 3.6 0.4 2.8 1.2 321.0 356.0
 5.0 3.2 1.8 3.6 1.4 1622.0 472.0
 4.0 2.7 1.3 3.8 0.2 344.0 312.0
 4.0 2.1 1.9 3.6 0.4 609.0 462.0
 5.0 2.5 2.5 3.5 1.5 83.0 21.0
 3.5 1.9 1.6 3.8 0.3 107.0 467.0
 5.0 2.4 2.6 3.8 1.2 6.0 118.0
 2.0 2.6 0.6 3.1 1.1 231.0 572.0
 2.5 1.2 1.3 3.4 0.9 1325.0 14.0
 4.0 2.3 1.7 2.8 1.2 148.0 563.0
 5.0 1.2 3.8 4.2 0.8 8974.0 651.0
 3.0 1.6 1.4 2.4 0.6 2788.0 29.0
 4.5 1.6 2.9 4.1 0.4 977.0 546.0
 2.0 2.4 0.4 2.8 0.8 96.0 139.0
 3.5 2.9 0.6 3.1 0.4 102.0 606.0
 3.5 2.2 1.3 3.6 0.1 2265.0 102.0
 4.0 2.0 2.0 3.6 0.4 3656.0 101.0
 3.0 1.6 1.4 1.0 2.0 5996.0 285.0
 4.0 3.0 1.0 3.1 0.9 423.0 535.0
 2.0 2.1 0.1 2.1 0.1 3128.0 110.0
 3.0 3.1 0.1 2.7 0.3 282.0 166.0
 5.0 1.8 3.2 4.1 0.9 5901.0 357.0
 1.0 1.8 0.8 1.4 0.4 3924.0 614.0
 1.5 2.7 1.2 3.0 1.5 805.0 267.0
 4.0 3.0 1.0 3.9 0.1 468.0 416.0
 4.0 3.0 1.0 2.8 1.2 3016.0 288.0
 3.0 1.9 1.1 3.6 0.6 4405.0 118.0
 2.0 2.0 0.0 3.6 1.6 5488.0 219.0
 3.5 2.6 0.9 3.9 0.4 632.0 387.0
 3.0 2.2 0.8 3.6 0.6 1308.0 379.0
 2.5 2.3 0.2 3.0 0.5 86.0 211.0
 5.0 3.0 2.0 4.0 1.0 630.0 163.0
 4.0 3.1 0.9 3.2 0.8 32.0 294.0
 4.0 2.0 2.0 4.1 0.1 2245.0 357.0
 1.0 2.5 1.5 2.6 1.6 580.0 389.0
 2.0 2.4 0.4 3.9 1.9 3004.0 387.0
 4.5 2.4 2.1 3.0 1.5 7116.0 429.0
 4.0 2.6 1.4 3.8 0.2 170.0 118.0
 0.5 1.5 1.0 1.8 1.3 5430.0 619.0
 4.5 2.5 2.0 3.8 0.7 27.0 383.0
 3.0 2.2 0.8 3.0 0.0 5647.0 535.0
 4.0 3.1 0.9 4.0 0.0 1620.0 30.0
 3.5 2.1 1.4 3.7 0.2 1420.0 387.0
 4.0 2.5 1.5 3.7 0.3 778.0 647.0
 4.0 2.4 1.6 3.3 0.7 75.0 357.0
 1.0 2.5 1.5 4.0 3.0 4561.0 117.0
 3.5 2.2 1.3 3.5 0.0 392.0 72.0
 2.0 1.8 0.2 3.6 1.6 83.0 14.0
 4.0 3.2 0.8 3.6 0.4 3106.0 542.0
 5.0 2.8 2.2 3.8 1.2 497.0 606.0
 1.5 2.1 0.6 3.3 1.8 1234.0 296.0
 4.0 2.2 1.8 3.4 0.6 5286.0 440.0
 0.5 1.0 0.5 1.5 1.0 3909.0 206.0
 3.0 2.5 0.5 3.5 0.5 684.0 240.0
 5.0 3.1 1.9 4.0 1.0 194.0 213.0
 4.0 1.6 2.4 3.8 0.2 2316.0 563.0
 4.0 2.7 1.3 3.6 0.4 1505.0 562.0
 3.5 2.2 1.3 3.4 0.1 2269.0 21.0
 4.0 1.9 2.1 4.1 0.1 2792.0 504.0
 4.0 2.2 1.8 4.0 0.0 788.0 379.0
 5.0 2.3 2.7 3.7 1.3 4392.0 231.0
 3.0 2.5 0.5 3.9 0.9 23.0 357.0
 4.0 2.6 1.4 3.8 0.2 125.0 16.0
 5.0 3.1 1.9 3.2 1.8 523.0 655.0
 3.0 2.2 0.8 2.3 0.7 4229.0 85.0
 2.0 2.0 0.0 2.9 0.9 2618.0 118.0
 4.0 3.0 1.0 3.9 0.1 564.0 302.0
 4.5 2.7 1.8 3.8 0.7 1379.0 267.0
 1.0 1.5 0.5 3.0 2.0 2639.0 528.0
 0.5 1.2 0.7 2.0 1.5 1278.0 212.0
 3.0 2.3 0.7 3.1 0.1 2512.0 492.0
 5.0 2.0 3.0 3.7 1.3 2302.0 231.0
 3.0 1.9 1.1 3.2 0.2 166.0 517.0
 4.5 2.9 1.6 3.7 0.8 1421.0 239.0
 5.0 3.2 1.8 3.8 1.2 434.0 214.0
 2.0 1.6 0.4 3.6 1.6 2634.0 574.0
 4.5 2.6 1.9 4.2 0.3 767.0 137.0
 4.0 2.1 1.9 3.2 0.8 2742.0 471.0
 1.0 2.6 1.6 3.9 2.9 106.0 317.0
 4.0 2.6 1.4 4.0 0.0 2209.0 264.0
 3.5 2.1 1.4 2.8 0.7 1459.0 366.0
 3.0 2.0 1.0 3.4 0.4 2570.0 238.0
 4.0 2.5 1.5 3.7 0.3 2998.0 40.0
 1.0 2.3 1.3 2.9 1.9 321.0 211.0
 4.0 2.1 1.9 3.9 0.1 2432.0 323.0
